pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.577698695136418	0.878910856561774	-0.226843240830295	-0.903933465137482	1947	10	JUN PIM1 BAX CDKN1A BCL2 CSF1 TP53 BCL6 CCND2 FOXO3
AHR	0.737622451681229	0.94798630688683	-0.252882112309409	-0.785201544631096	2785	6	PCNA CYP1B1 RFC3 AHRR UGT1A1 CCNG2
APC	0.0968479918657855	0.350623523430725	-0.509344193086353	-1.44291386576208	380	5	MYC SGK1 AKT1 DNMT1
AR	0.461961961961962	0.838843137254902	-0.124617807067162	-0.97614619527397	922	39	JUN IGF1R CDKN1A MUC1 AKR1C3 CDH2 AKT1 VIM WEE1 EGFR CDH1 NFKB1 HMOX1 NRAS CDC6 NKX3-1 TMPRSS2 BTG2 ARG2 ERBB2 RELA BTG1 XIAP REST CLK3 TSC2 CDK20 WNT7B PTEN PC CTNNB1
ARNT	0.00101677681748856	0.0606676834434842	-0.773241112598542	-2.1905036674416	3	5	JUN FOS CYP1B1 CDK2 HIF1A
ARNTL	0.738313253012048	0.94798630688683	0.268425746073116	0.783733420314548	4595	6	BHLHE40 CRY2 PER1
ATF1	0.434471803018269	0.827345241917767	-0.321978430643362	-0.999746319620004	1640	6	IL10 MITF TGFB2 MAP1LC3B FTH1 SLC20A1
ATF2	0.112074303405573	0.364750914719955	-0.331547619047619	-1.37664934208239	361	11	CCND1 JUN ATF3 MMP2 KAT5 NOS3 POLB RELA TGFB2 PLAT ST3GAL5
ATF3	0.887060791968768	0.991171812698662	-0.187578333388759	-0.674688738347596	3180	8	GDF15 LDLR ID1 MMP2
ATF4	0.853908061655982	0.980904503191325	0.137230097397384	0.682123102863902	6259	21	NUPR1 VEGFA SIRT2 SIRT1 DDIT3 APOE TRIB3 NDC80 MAP1LC3B HRK CHAC1 HSPA5 CEBPB ATG5 IRF7
ATF5	0.0500762582613116	0.310836487096824	-0.557340473003124	-1.57888183935821	196	5	ID1 CCND3 CYP2B6 BCL2 CREB1
ATF6	0.52491103202847	0.87452071737786	-0.330655957161981	-0.936710522789779	2064	5	NUCB1 WBP1 STARD4 DNAJC3 RTN3
ATM	0.699644633972992	0.94798630688683	0.183769894464543	0.811535978004062	4921	16	TERF1 VEGFA DUSP1 SLC2A1 FAS PVR SP1 CFLAR
BCL6	0.0453514739229025	0.310836487096824	-0.350052091084983	-1.59002867558514	139	13	MYC CDKN1A LITAF XBP1 IRF4 NFKB1 BCL2L1 CHEK1 SUMO1 PDCD2 BCL6 HDAC7 CCND2
BRCA1	0.757329842931937	0.94798630688683	0.134884799887133	0.763733646073176	5785	29	EP300 S100A2 CDKN1B VEGFA E2F6 SIRT1 CTSD DDIT3 CDH3
BTF3	0.0657496561210454	0.326921901268531	-0.45544480809283	-1.52306150656327	238	7	MRVI1 NFKB1 RRAS2 ABL2 ATM EPHB2 SSPN
CDX2	0.890049318247752	0.991171812698662	-0.175155581849448	-0.664709782942197	3067	9	CDKN1A IGFBP3 SLC15A1 CDH17 ELMO3
CEBPA	0.998557206752272	0.998809523809524	0.0971960757726814	0.40642983228879	6920	14	CCL2 LEP HSD17B11 INSR ITGAX CSF3R SPP1 IGF1 BCL2 HAMP
CEBPB	0.135360962566845	0.407335367404017	-0.274709268048203	-1.33736102980787	404	15	GDF15 PRDM1 SLC19A1 SAA2 CDKN1A STAR XBP1 IRF4 OXTR
CIITA	0.985494633014215	0.998809523809524	-0.138265012527387	-0.524711262382583	3396	9	COL1A2 HLA-DRA HLA-A HLA-DOA HLA-B S100A4 COL1A1
CLOCK	0.67055522740697	0.94798630688683	0.218049767422722	0.828090291420098	4540	11	BHLHE40 CRY2 DEC1 NR3C1 PER1
CREB1	0.0329375718115665	0.310836487096824	-0.269561254429212	-1.63721146306118	85	23	JUN ACACA IL10 MC2R LYL1 SMAD6 PSEN1 BDNF PPP2R2B BCL2 MITF HMOX1 CASP8 NR2F6 UXT PPP2CA
CREB5	0.192458521870287	0.50797217939044	0.347891305881666	1.26660896733025	1275	10	RASGRP3 TGFBR3 MX1 DGKG MAPKAPK3 STAT1
CREBBP	0.262650602409639	0.61861128725428	0.40255998669211	1.17537054424745	1634	6	PSMC5 HINFP IRF1
CREM	0.136536994660564	0.407335367404017	0.386152219469342	1.34434957831831	894	9	G6PD CCNA2 DUSP1
CTNNB1	0.848123134914402	0.980904503191325	0.223704621691848	0.699856100512248	5399	7	STARD7 PLD1 RB1 VIM MYC JUN
DDIT3	0.949391415759129	0.998809523809524	-0.139494097973172	-0.603665986818102	2963	12	ATF5 TNFRSF10B ATF2 NOS3 ANKRD1 ASNS ATG5 MAP1LC3B TRIB3 RTN3
DNMT1	0.274177792250081	0.621238288769172	-0.241935730964196	-1.13697376231305	841	14	BIRC5 RELN TNFRSF10B CDH1 IL32 CXCR4 CASP8 TIMP3 RB1 MBD2 CDKN2A GAD1 MSH2
