pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.586737714624038	0.91072361672892	-0.226843240830295	-0.894262199582559	1981	10	JUN PIM1 BAX CDKN1A BCL2 CSF1 TP53 BCL6 CCND2 FOXO3
AHR	0.926748425588333	0.992127368762598	-0.130405991070462	-0.632613221930559	2795	15	CCND1 MYC FOS PCNA CYP1B1 MT2A RFC3 CYP2B6
APC	0.159400166620383	0.503183037079715	-0.365525303663083	-1.29786435249445	573	8	MYC SGK1 BIRC5 AKT1 DNMT1 F8
AR	0.985905044510386	0.992127368762598	-0.0537675740310594	-0.555240354623971	1328	67	JUN MYC PMEPA1 KLK2 IGF1R CDKN1A MID1 ATAD2 MUC1 IGFBP3 AKR1C3 CDH2 AKT1 VIM HMMR WEE1 EGFR PIGR CDH1 UGT2B15 NFKB1 PNRC1 HMOX1 NRAS CDC6 IFI16 NKX3-1 TMPRSS2 BTG2 ARG2 FN1 ERBB2 PEBP1 STIM1 RELA GREB1 BTG1 TRPS1 SESN1 XIAP REST CLK3 TSC2 CDK20 GTF2F1 WNT7B PTEN PC CTNNB1 USP26 SRD5A3 TSC1 FKBP4 UCN PTPN1 TCF7L2 ETV1 ELK4 TBP SEPT7 VEGFA MED1 BSG EP300 ERBB3 CDK6
ARNT	0.518253400143164	0.862596263325535	0.217723429477121	0.939583869823827	3619	15	BHLHE40 VEGFA BRCA1 MFSD2A CTSD
ARNTL	0.745563084866086	0.970885747633251	0.268425746073116	0.778555328714155	4620	6	BHLHE40 CRY2 PER1
ASCL1	0.553890641430074	0.891979734251028	-0.295723317218297	-0.914832579762643	2106	6	PCSK6 TPH1 CHRNA3 IGF2 CHRNA5 CHRNB4
ATF1	0.832253886010363	0.974313972356491	-0.1541403662775	-0.720942246054732	2569	14	TOP2A IL10 FLT1 LDHA BCL2 MITF USP7 ERBB2 TGFB2 MAP1LC3B FTH1 SLC20A1
ATF2	0.494460856720827	0.855457981640947	-0.167079758608599	-0.958655877307072	1338	21	CCND1 JUN CDKN1A ATF3 MAP3K1 PLAU IMPDH2 MMP2 KAT5 NOS3 POLB FN1 DUSP10 RELA TGFB2 PLAT ITGB8 ST3GAL5 FAS
ATF3	0.202608142493639	0.564571003802499	-0.273385601197182	-1.23422457649661	636	13	GDF15 PCLAF LDLR ID1 CD82 MMP2 ASNS AK4 TP53 CCL5
ATF4	0.958127090301003	0.992127368762598	0.104449326970967	0.559274119195844	7161	25	NUPR1 CCL2 VEGFA SIRT2 SIRT1 DDIT3 APOE TRIB3 NDC80 MAP1LC3B HRK MCL1 CHAC1 HSPA5 CEBPB ATG5 IRF7
ATF5	0.0141727991278277	0.231748627496788	-0.557423385897054	-1.8493626163061	51	7	EGR1 ID1 CCND3 DISC1 CYP2B6 BCL2 CREB1
ATF6	0.811443236714976	0.974313972356491	0.198965434184355	0.721148529925438	5374	10	SRF ATP2A2 DDIT3 RTN3 DNAJC3
