pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
APC	0.0896214267319083	0.408124656026417	-0.509344193086353	-1.44758736847061	347	5	MYC SGK1 AKT1 DNMT1
AR	0.126110124333925	0.464616247546041	-0.243993491371228	-1.33223338160344	354	19	CDKN1A MUC1 AKR1C3 AKT1 VIM WEE1 CDH1 NFKB1 NRAS BTG2 RELA BTG1 XIAP REST CLK3 TSC2
ATF3	0.475405614215813	0.76022063141411	-0.340914803226508	-0.968900734658359	1845	5	LDLR ID1 MMP2
ATM	0.477852968317441	0.76022063141411	0.281019540846902	0.97856530352265	3106	9	TERF1 VEGFA SLC2A1 PVR SP1 CFLAR
BCL6	0.0626156693399136	0.389905758021463	-0.350026043604435	-1.51907786039675	202	12	CDKN1A LITAF XBP1 IRF4 NFKB1 BCL2L1 CHEK1 SUMO1 PDCD2 BCL6 HDAC7 CCND2
BRCA1	0.707878430215403	0.907160018716254	-0.204662625480605	-0.811643536811268	2398	10	GADD45A HMGA2 KHSRP EGFR HNRNPA2B1 IGF1
CREB1	0.61833633788308	0.865670873036312	-0.306559571619813	-0.871261063901766	2400	5	JUN HMOX1 NR2F6 PLAT NR2F1
CREB5	0.684303919987095	0.907160018716254	0.283631216875823	0.825449062922282	4241	6	RASGRP3 DGKG STAT1
CREM	0.108638541183743	0.425123509235659	0.421582539897578	1.39555645214081	702	8	G6PD CCNA2 DUSP1
DDIT3	0.138204474653073	0.483715661285755	-0.373760094696076	-1.33053560139549	487	8	ATF5 TNFRSF10B ATF2 NOS3 ANKRD1 ASNS
DNMT1	0.027452190006169	0.27452190006169	-0.384775652950368	-1.66988767349311	88	12	BIRC5 RELN TNFRSF10B CDH1 IL32 CXCR4 CASP8 TIMP3 RB1 MBD2 CDKN2A GAD1
E2F1	0.582253240279163	0.847075616994103	-0.184513141054586	-0.894721970810333	1751	15	BIRC5 KIF2C DNMT1 PNRC2 SERPINE1 IRF3 MDM2 TP53 HSPA5 MCL1 TLR3 FHIT WWOX
E2F4	0.109317473803455	0.425123509235659	-0.385827796206642	-1.37349499356891	385	8	PCLAF TTK MCM10 RAD51 PLK1 PPARG
EGR1	0.812387645040039	0.947785585880046	0.267282557714138	0.720363389487718	4970	5	VEGFA FAS AR MYB
ESR1	0.310152990264256	0.628451655363837	0.340407261239665	1.12684351181624	2006	8	NQO1 CD24 CDKN1B
EZH2	0.939419917131019	0.967049914693696	0.129451564319674	0.585562218761584	6574	17	FBXO32 APC TWIST1 SATB1 HDAC1 CIITA ADAMTS1 CDKN2A PIP5K1C TP53 PEBP1
FOS	0.00206026268349215	0.123022847100176	-0.777926520898408	-2.21091478127425	7	5	CCND1 MYC CLU FOS NFKB1
HDAC1	0.0126221498371336	0.220887622149837	-0.273649329653754	-1.83091041887721	30	28	CCND1 EGR1 RHOB RECQL4 CDKN1A FOS RELN CD44 PCNA HLA-DRA BRCA2 RUNX3 EGFR CD82 TXNIP CDH1
HDAC2	0.229714285714286	0.580607862570202	-0.316182160156125	-1.19709407204914	803	9	COL1A2 DNMT1 BMP7 TNFSF10 CDH1
HDAC3	0.00962900028320589	0.220887622149837	-0.540629549270869	-1.92456838672468	33	8	JUN MYC GAS2 CDH1 MMP2 GRHL1 CXCR4
HDAC4	0.542652724270776	0.808206185084135	-0.274977696930662	-0.919811579222808	1971	7	JUN CDKN1A IL10 RUNX2 MEF2A CDKN2A
HDAC7	0.0836543753439736	0.408124656026417	-0.436131549637313	-1.45887777044675	303	7	MEF2C MEF2D HIF1A AKAP12 ESR1 MEF2A
HDAC9	0.0159254807692308	0.222956730769231	-0.435965501773913	-1.82121030654878	52	11	TNFRSF10B CITED2 NFKB1 MYEF2 ESR1 MEF2A TP53 RELA HSPA5 STAT6
HIC1	0.250785175879397	0.58516541038526	0.37894913750654	1.18402912290057	1596	7	VEGFA SIRT1 LRP8 ACKR3 VLDLR EPHA2
HIF1A	0.689853319219719	0.907160018716254	0.222816952237117	0.814296681811131	4561	10	VEGFA BID SDHB APEX1
HOXA10	0.185513792547185	0.563471502590674	0.435632194389116	1.26781597102799	1149	6	CDKN1C MYCN EMX2 IL11 PHGDH
ING4	0.460983775431368	0.76022063141411	-0.345221207071729	-0.981139797937163	1789	5	CCND1 ANGPT1 BCL2 SPP1
IRF1	0.271714285714286	0.613548387096774	-0.302986442624142	-1.14713389964039	950	9	CDKN1A CDK1 CDK2 BCL2 CCNB1 CDK4 MYB
JUN	0.716661672160623	0.907160018716254	0.211974873275871	0.802906698972968	4782	11	VEGFA DCN RARA AR SMN1 TP53
KLF4	0.738687443811807	0.907160018716254	0.207346477844902	0.785375518793019	4929	11	SOD1 RARA ODC1 VDR TP53 CCNB1 IFITM3
MECP2	0.32320370847283	0.628451655363837	-0.384575338390599	-1.09298664760699	1254	5	CCND1 RELN IGFBP3 ESR1 GAD1
MTA1	0.917728665913857	0.967049914693696	0.213160283250313	0.620358217262995	5688	6	RNF144A MTA3 PTEN EPHA2 ESR1
MYC	0.0397142857142857	0.3475	-0.425457521202202	-1.61082040899585	138	9	CCND1 CDKN1A MST1 SFRP1 PRODH BRD7 JUNB CD33 CFLAR
MYCN	0.962571428571428	0.976521739130435	-0.154696110623135	-0.585693376579415	3368	9	CLU LRRN3 MXI1
NFKB1	0.85978021978022	0.958762324998638	-0.0991520828396824	-0.721605660999808	1955	33	CCND1 MYC EGR1 BAX CDKN1A COL1A2 AKT1 SERPINE1 TNFSF10 BCL2L1 BHMT BIRC3 BCL2 BACE1 CTCF TIMP1 YY1 MCL1 TLR3 AKT2 XIAP CFLAR REPS2 AR PTEN TRAF2
NFKBIA	0.726747385800771	0.907160018716254	-0.236430496163977	-0.790869624993103	2640	7	ICAM1 TNFSF10 NFKB1 CCL5 RELA
NR3C1	0.926131255618819	0.967049914693696	0.160608064099828	0.608342340683972	6180	11	ATP1B1 CDK6 SRF
PAX5	0.0272984805562709	0.27452190006169	-0.596608656849621	-1.69559831504609	105	5	CCND1 PRDM1 XBP1 BCL2 TP53
PITX1	0.498995518467007	0.761288315666053	0.290001706943872	0.959986989394037	3228	8	IRF2 TRIB2 HES1 IRF7 NKX3-1 RUNX1 RUNX2
PML	0.163018284831316	0.543394282771053	-0.455897664733006	-1.29568906397812	632	5	CCND1 EGFR NR4A1 EAF2 UBA7
PPARA	0.0932856356631811	0.408124656026417	-0.427410649310083	-1.42970600418435	338	7	IL6R TXNIP PLIN2 ACSL1 APOB
PPARG	0.680168502916397	0.907160018716254	-0.177448994521524	-0.827595946053842	2098	14	CCND1 MYC ICAM1 EGFR SLC9A1 BCL2L1 APOB BCL2
RB1	0.938859123857548	0.967049914693696	-0.134488564462335	-0.606447158491943	2978	13	MYC CDKN1A FOS PCNA DHFR
