pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.931784107946027	0.980188477189976	-0.194760335998748	-0.633002399862436	2485	7	CDKN1A BAX CCND2 JUN TP53
AR	0.948412698412698	0.984546353770948	0.141684243616327	0.5903618262572	8125	18	HMOX1 ETV1 NKX3-1 ARG2 CDK20 AKT1 PTEN EGFR ERBB2 IGF1R CDH2 TJP1 EP300 JUN
ATF2	0.30828543389878	0.78289239150027	0.40722827744705	1.12174001236494	2198	6	POLB RELA ST3GAL5 PLAT
ATF4	0.960236567258085	0.984546353770948	0.161664110654515	0.564491278605066	7630	11	HRK ATG5 NDC80 DDIT4 NUPR1 APOE SIGMAR1 MAP1LC3B DDIT3
ATF6	0.311009474028095	0.78289239150027	-0.400535319712886	-1.10469628685514	951	5	NUCB1 WBP1 DNAJC3 RTN3
ATM	0.596326836581709	0.862544174341401	-0.273112807463953	-0.887660527341466	1590	7	CFLAR FAS BAX GADD45A KLRK1 MCL1 FOXM1
BRCA1	0.329462102689487	0.78289239150027	-0.222073861234382	-1.08446337731808	538	16	CDKN1A STAT1 IRF9 IRF7 DDB2 DDIT3 GADD45A S100A2 EP300 ATM STAT2 CDKN1B
CDX2	0.527605357726233	0.851045827821509	-0.337416370807623	-0.930611093729534	1614	5	CDKN1A APC FUT2 ACAT2
CEBPA	0.157040392600982	0.766984928588338	0.373759945703706	1.30507772434743	1247	11	CSF3R IGF1 INSR HAMP
CEBPB	0.380648591174907	0.813814178148151	0.340382966775018	1.05686641659334	2863	8	CSF3R INSR PRDM1 SLC19A1 STAR
CLOCK	0.754704117807472	0.944056950887858	0.263744416998763	0.776250743954308	5534	7	NAMPT CRY2 STAR PER2
CREB1	0.570802919708029	0.851045827821509	-0.224568681059678	-0.905265716933464	1172	11	ETV3 CASP8 NR5A2 PSEN1 UXT NOLC1 PPP2R2B PPP2CA BCL2 NDC80 ACACA
CREB5	0.324737069586515	0.78289239150027	0.430538953836482	1.10526947485786	2253	5	MAPKAPK3 DGKG TGFBR3
CREBBP	0.2734400522705	0.78289239150027	-0.415905022142655	-1.1470866888212	836	5	CDKN1A PSMC5 CREB1 IRF1 HINFP
CTNNB1	0.0251551780463901	0.407513884351519	-0.631301234335249	-1.74116013029045	76	5	VIM CCND1 PLD1 JUN STARD7
E2F1	0.165637860082305	0.766984928588338	0.217687197818486	1.25622501540995	1609	55	CTNNBIP1 TP53BP2 TYMS DRAM1 ERCC5 BIRC5 PCSK6 DBF4 ATG5 MCPH1 E2F6 FOXM1 APAF1 PLK1 DAPK2 FANCA MT1G SIVA1 FGFR1 RBM38 CDK1 BCL2 BBC3 NRIP1 TP53INP1 RASGEF1B RRM2 CHEK2 AR ISYNA1 CASP7 LRBA SKP2 DROSHA RRM1 TP53 THBS1 PPARG HMGA1 CDKN2A PCNA
EGR1	0.201111111111111	0.78289239150027	-0.196094650768572	-1.20653363213547	180	28	CDKN1A CCND1 FN1 SOD1 HPSE PLAUR RBL2 HIF1A LDLR EAPP EP300 PCSK2 TCF4 LMTK2 TP53 PDGFC TMPO EGFR IGF2 PTEN SLC4A2 ACE STIM1 BCAR1
EP300	0.47361237488626	0.836664777703364	-0.250814957873977	-0.973562757395684	1040	10	GFAP CDKN1A TRIM22 BRCA1 CRABP1 VCAM1 EIF2AK1 DNMT1
ESR1	0.809635722679201	0.944056950887858	-0.159974637205944	-0.756498158832777	1377	15	HSPB1 CDKN1A CCND1 GREB1 ZFHX3 SERPINE1 PMAIP1 ZEB1 JUN HTRA2
ETS1	0.848824188129899	0.96300817624347	0.193732213414803	0.697084348120183	6821	12	CSF3R TNFSF14 ANGPT2 NKX3-1
EZH2	0.651491139605244	0.9258031983864	0.332236358511552	0.852909364480447	4521	5	AXL KPNB1 RPLP0 PCNA
FOS	0.526714345814051	0.851045827821509	-0.251296069375059	-0.929282839308225	1251	9	NEFL FAS DDIT3 ERCC4 HSPH1 EZR CREM SRR CASP9
FOXM1	0.438985736925515	0.836664777703364	0.391585059206521	1.00526795286392	3046	5	SFTPB AR CCNB1
GATA1	0.539547615617346	0.851045827821509	0.362761227669498	0.931272090555917	3744	5	AGGF1 DICER1 CYBB
GLI1	0.281371560293906	0.78289239150027	0.449253599257217	1.15331327236331	1952	5	CDK2 BCL2 CYR61
HIF1A	0.554513614280872	0.851045827821509	0.205818553129816	0.931032418212835	4907	23	BNIP3 TIMP2 FGF2 PGK1 PTGES ALDOA XPC CXCR4 ACE AR
HOXB7	0.170580607981559	0.766984928588338	0.50232587208508	1.28955916276477	1183	5	FGF2 WNT5A EGFR
HSF1	0.0780790591310029	0.574945799055567	-0.527560538961651	-1.45503814470093	238	5	LDHA SERPINE1 POLK ATG7 HSPA4
ING4	0.0177762286510979	0.359968630184733	-0.592159819072748	-1.78380513621157	50	6	CDKN1A BAX ARL6IP5 CASP3 TP53 CDKN1B
