pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AR	0.967978258300839	0.999566473988439	0.134752979184402	0.549104147078604	8191	17	TSC2 TSC1 RELA NRAS REST AKT1 XIAP NFKB1 BTG1 CLK3 CDH1 WEE1 BTG2 AKR1C3
ATM	0.880234620106398	0.999566473988439	0.228064387126694	0.66750503141243	6452	7	SP1 TNFRSF10B BCL2 TERF1
BCL6	0.886826270643964	0.999566473988439	0.19955612839748	0.672936698768686	6926	10	HDAC7 BCL6 CHEK1 PDCD2 NFKB1 XBP1 SUMO1
BRCA1	0.998847778773525	0.999566473988439	0.120166536277113	0.405221693135479	7801	10	IGF1 KHSRP E2F6 EGFR CDH3 HMGA2 CTSD GADD45A HNRNPA2B1
CREB1	0.647398843930636	0.999566473988439	0.334581408548275	0.858570485801125	4479	5	HMOX1 NR2F1 PLAT NR2F6
CREB5	0.109608540925267	0.687131198995606	-0.461183474805381	-1.39183454160694	307	6	LGALS3BP STAT1 TNFRSF11B RASGRP3 RDX
CREM	0.273988439306358	0.949826589595376	0.450124201786432	1.1550652389069	1895	5	SLC5A5 CCNA2 CREB1 G6PD
DDIT3	0.375	0.999566473988439	0.414841172307378	1.06452533744672	2594	5	TNFRSF10B SIRT2 ANKRD1
DNMT1	0.893099475099219	0.999566473988439	0.197586726998492	0.666295547296026	6975	10	BIRC5 TNFRSF10B CXCR4 MBD2 GAD1 CDKN2A RB1 TIMP3 CASP8 CDH1
E2F1	0.885865550357055	0.999566473988439	0.180461925647856	0.669200644415146	7194	13	MDM2 BIRC5 PNRC2 MCL1 IRF3 TP53 DNMT1 TLR3 WWOX FHIT
E2F4	0.593950177935943	0.999566473988439	-0.293252921221259	-0.885026388586731	1668	6	BRCA1 PCLAF PPARG TOPBP1 MCM10 PLK1
ESR1	0.123107569721116	0.687131198995606	-0.385908792885141	-1.33276458057702	308	8	CDKN1A CTNNB1 CD24 NQO1 BTG2 TP53 CDKN1B
EZH2	0.1835	0.777520120038194	-0.292381670752404	-1.2297909533982	366	12	FBXO32 CDKN1A APC MST1 CDH1 CIITA CDKN2A TP53 HDAC1 PEBP1 DACT3 SATB1
HDAC1	0.0471293916023993	0.484472049689441	-0.271292381253401	-1.5130953266064	54	22	HLA-DRA CD44 CDKN1A CCND1 FOS TXNIP HSPA5 SPP1 CCND2 CDH1 EGR1 TJP1 BRCA2 PHB PCNA EIF2AK1 TP53 GAD1
HDAC2	0.905338078291815	0.999566473988439	-0.219378551460087	-0.662076293472345	2543	6	CDH1 BMP7 PHB DNMT1
HDAC3	0.326411421155094	0.998434935297935	-0.391312541223028	-1.08397564021452	1005	5	CDH1 JUN CDKN2A GRHL1 CXCR4
HDAC4	0.559052563270604	0.999566473988439	-0.328019762204152	-0.908648188547594	1722	5	CDKN1A RUNX2 JUN CDKN2A
HDAC7	0.72290720311486	0.999566473988439	-0.287222136596038	-0.795634605595285	2227	5	HIF1A ACTN4 MEF2D
