pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.772893191556896	0.986846512406844	0.205076199147255	0.752337542207293	4869	10	BAX CCND2 PIM1
AHR	0.313982836951035	0.782745945638495	0.378676655008874	1.11494947924384	1865	6	UGT1A1 RFC3 CYP1B1 CCNG2 PCNA
APC	0.609439124487004	0.950218521843714	0.323881155233734	0.877811953136803	3563	5	AKT1 SGK1 DNMT1
AR	0.0419367136866184	0.456922012513112	-0.205317998315393	-1.58179390248349	109	38	EGFR BTG1 ERBB3 TMPRSS2 VIM XIAP CDH1 CTNNB1 WEE1 AKR1C3 PTEN ERBB2 TSC1 TSC2 CDK20 ETV1 TJP1 MUC1 JUN EP300 BTG2 NFKB1 UCN REST RELA IGF1R CLK3
ARNT	0.455705344246509	0.906290403726204	-0.353791416499889	-0.995216706518283	1892	5	CDK2 JUN HIF1A FOS CYP1B1
ARNTL	0.256604408547871	0.776909208913247	0.400795791065313	1.18007554102041	1524	6	CRY2 PER1 CRY1 PER2 PER3
ATF1	0.306410903584048	0.776909208913247	0.381841776381337	1.12426864476222	1820	6	MITF SLC20A1 TGFB2
ATF2	0.879066814791303	0.989297199632469	0.180632889083866	0.662665411102033	5538	10	KAT5 TGFB2 PLAT ST3GAL5 RELA ATF3 NOS3 JUN POLB
ATF3	0.815081967213115	0.986846512406844	0.229357954032452	0.72125059441408	4971	7	LDLR ADIPOR2
ATF4	0.127293912030294	0.680599451334255	0.270745289709858	1.36833480696463	873	21	DDR2 HSPA5 CEBPB NDC80 VEGFA SIRT1 DDIT3 ATG5 CHAC1 SIRT2 PLAU
ATF5	0.227086183310534	0.75838215935782	0.448891853828478	1.21662723683942	1327	5	CYP2B6 BCL2 CREB1 ID1 CCND3
ATF6	0.599350205198359	0.950218521843714	0.326874949919624	0.885926005831887	3504	5	DNAJC3 STARD4 WBP1 NUCB1
ATM	0.017653325216862	0.431421521425132	0.407928090877729	1.78762057604179	115	15	FOXM1 BAX MCL1 PMAIP1 FAS CFLAR VEGFA SLC2A1 SP1 TERF1 TNFRSF10B BCL2
BCL6	0.115876171542176	0.650069815921964	-0.307525260467556	-1.38583451069515	407	13	PDCD2 SUMO1 HDAC7 XBP1 BCL6 NFKB1 BCL2L1 CHEK1 MYC
BRCA1	0.196272082348032	0.75838215935782	0.214178721169947	1.26108453469956	1410	30	CTSD MAD2L1 ESR1 CDH3 HSPA5 CDKN1B RNASEL CXCL1 HMGA2 VEGFA SIRT1 DDIT3
BTF3	0.100205023065095	0.650069815921964	-0.428885004931718	-1.41530671745174	390	7	ATM ABL2 EPHB2 SSPN NFKB1 MRVI1
CDX2	0.191020276794335	0.75838215935782	0.357455327352265	1.24814469880999	1186	9	ACAT2 APC CDH17 AXIN2 SLC15A1 CDKN1A IGFBP3 FUT2 HEPH
CEBPA	0.858612219834203	0.986846512406844	0.160000794320136	0.679971624171211	5592	14	INSR CSF3R HAMP HSD17B11
CEBPB	0.983707949917031	0.989297199632469	0.113225091364039	0.509418104117274	6520	16	INSR IRF4 CSF3R
