pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.777298161470823	0.948734253875969	0.205076199147255	0.750627605130367	4861	10	BAX CCND2 PIM1
AHR	0.875303398058252	0.964366431811462	0.150357551285095	0.658061507880431	5769	15	CYP2B6 UGT1A1 RFC3 CYP1B1 CCNG2 BRCA1 FOS PCNA MT2A MYC CYP1A2 ARNT AHRR
APC	0.631779731298723	0.92886662875467	0.273626958606118	0.861116466394973	3808	7	AKT1 SGK1 DNMT1 BIRC5
AR	0.0290093048713738	0.643428786382659	-0.155470668359865	-1.62110363680534	52	67	EGFR PNRC1 BTG1 ERBB3 TMPRSS2 VIM XIAP CDH1 CTNNB1 WEE1 AKR1C3 PIGR PTEN TRPS1 ERBB2 TSC1 IFI16 SESN1 TSC2 TBP KLK2 CDK20 PMEPA1 NOV ETV1 FN1 TJP1 GTF2F1 MUC1 MID1 JUN EP300 BTG2
ARNT	0.870381231671554	0.964366431811462	-0.142555197717957	-0.688452311796016	2967	15	MFSD2A RELB GAD1 CDK2 JUN BHLHE40 AHR
ARNTL	0.264690939881456	0.865466901585704	0.400795791065313	1.17750921095121	1562	6	CRY2 PER1 CRY1 PER2 PER3
ASCL1	0.678719522308841	0.948734253875969	0.263399807250352	0.828931156578916	4091	7	TPH1 IGF2 DKK1 CHRNA5 PCSK6 CHRNB4 CHRNA3
ATF1	0.549465648854962	0.912822861604998	0.216182922441123	0.917540415295355	3598	14	MITF SLC20A1 TGFB2 PLAUR FLT1 BCL2 GABPA FTH1 USP7 LDHA TOP2A
ATF2	0.595816266822703	0.914078372082036	0.177624795630981	0.884348421898045	4072	20	KAT5 ITGB8 FASLG IMPDH2 FAS MAP3K1 TGFB2 PLAT PLAU
ATF3	0.239504260263362	0.838146343816323	0.30243685699892	1.19927946178619	1545	12	CD82 CCL5 LDLR ADIPOR2
ATF4	0.237940302730231	0.838146343816323	0.217767224609962	1.19719042341234	1681	25	MCL1 DDR2 HSPA5 CEBPB NDC80 VEGFA SIRT1 DDIT3 ATG5 CHAC1 SIRT2 PLAU TNFRSF10B TRIB3 CCL2
