pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ABL1	0.0194735715814252	0.283904175160778	0.595752551972993	1.5580776120455	181	10	JUN BCL2 CDKN1A
AHR	0.461664953751285	0.673058906258452	0.350068924917325	1.01525799870854	4491	16	CCND1 MT2A PCNA UGT1A1 AHRR
APC	0.0347481856168903	0.352461591630274	0.606673319387868	1.50420419878203	315	8	ODC1 SGK1 F8 DLG1
AR	0.584041595840416	0.743630665573705	0.272625701588829	0.965824814797568	5840	72	JUN SESN1 CDKN1A TMPRSS2 WEE1 PEBP1 USP26 IFI16 FKBP4 PNRC1 TCF7L2 NRAS NDRG1 IGF1R EGFR KLK2 AKR1C3 GTF2F1 ERBB2 UGT2B15 REST CDH11 CDH1 STIM1 MUC1
ARID3A	0.396900659188158	0.640215716486903	0.456979981439746	1.0486941713548	3431	6	RBL1 PML CR2 E2F1 CDC6 CDK1
ARNT	0.588180883864337	0.743630665573705	0.322294870999422	0.934708631456445	5722	16	JUN CDK2 AHR CTSD ESR1 FOS EGLN2 CCNE1 HIF1A GAD1 RELB BHLHE40 BRCA1 VEGFA
ARNTL	0.601942870359662	0.754471380496047	0.39560052822096	0.90783838456806	5204	6	PER1 PER2 BHLHE40
ASCL1	0.970697621999324	0.974214642368887	0.241116570132997	0.577409609955458	8612	7	CHRNA3 TPH1 IGF2 CHRNB4 DKK1 CHRNA5 PCSK6
ATF1	0.0745118191161357	0.409927573142687	0.467228437592963	1.35504003562264	724	16	LDHA FTH1 BCL2 MAP1LC3B PLAUR MITF ERBB2 CYP11B1 IL10 FLT1 CFTR GABPA TOP2A
ATF2	0.102016129032258	0.409927573142687	0.41353967571707	1.2847978615864	1011	24	JUN CCND1 CDKN1A DUSP10 ATF3 MMP2 NOS3 PCK2 CYP11B1 MAP3K1 IFNB1
ATF3	0.359636287625418	0.621486834621433	0.389466901802852	1.08146173151991	3440	13	DDIT3 GDF15 MMP2 PCLAF LDLR AK4
ATF4	0.189028686462003	0.502654165841042	0.37659858578099	1.18609651707761	1877	26	HSPA5 DDIT3 TRIB3 ATF3 MAP1LC3B CEBPB DDR2 HRK BGLAP CHAC1 APOE MCL1 ATG5
ATF5	0.382057928547278	0.63753039884094	0.444183671390499	1.0637009323113	3389	7	EGR1 BCL2 CCND3 CREB1 CYP2B6 ID1
ATF6	0.273642917726887	0.562840066358328	0.427770361164131	1.14486340727033	2580	11	HSPA5 DDIT3 DNAJC3 WBP1 BGLAP XBP1 STARD4
ATM	0.0974845944034751	0.409927573142687	0.422306177780451	1.29369931139232	964	22	GADD45A BCL2 CDKN1A PMAIP1 SLC2A1 PCNA
