pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AATF	0.151376146788991	0.301770414362326	0.656079350447084	1.25006636804883	1319	5	CDKN1A MYC BAX KLK3
ABL1	0.00861621509394789	0.0550883383147636	0.706062735981921	1.55462400044102	82	10	JUN CDKN1A BCL2 PIM1 CCND2 BAX CSF1
AHR	0.00772859580447656	0.0532414377641719	0.601191224720343	1.46919577349615	76	20	CCND1 MT2A CYP1B1 MYC FOS PCNA IL1B ABCG2
APC	0.00164558263910316	0.0204052247248792	0.736008171885849	1.64820491491288	15	11	ODC1 SGK1 MYC DLG1 F8 NOS2 KLF4 BIRC5
APEX1	0.281651376146789	0.44905765833673	0.595163900204135	1.13400059705426	2455	5	CCL2 NFKB1 SLC5A5 RELA
AR	0.003999600039996	0.03757200037572	0.475015302262804	1.30995999892391	39	86	JUN IGFBP3 NOV HMOX1 CDKN1A MYC SESN1 FKBP4 NFKB1 NRAS TMPRSS2 ALDH1A3 WEE1 PNRC1 IFI16 TCF7L2 CDC6 EGFR IGF1R ERBB2 PTPN1 REST AKR1C3 KISS1R SRD5A3 GTF2F1 USP26 PEBP1 VIM CDK20 CTNNB1 AKT1 HMMR KLF5 ACTA1 SERPINB5 MID1 RELA CRISP1 PSCA TGFA KLK3 EP300
ARID3A	0.272707059477487	0.438026883098555	0.575030564768853	1.14077020375545	2452	6	CDC6 RBL1 CDK1 PML E2F1
ARNT	0.0209965842877235	0.0929848732742042	0.575035873893519	1.39615870520323	208	19	JUN RELB CYP1B1 AHR CDK2 FOS
ARNTL	0.491272929405225	0.60426162682972	0.500268060135173	0.992453152680936	4418	6	BHLHE40 PER1 PER2 CRY1 PER3
ASCL1	0.779727095516569	0.817647964933236	0.395363533160221	0.812202443106358	7199	7	DKK1 CHRNA3 PCSK6 TPH1 CHRNA5 IGF2
ATF1	0.0353920192500501	0.126109493879489	0.540529303687927	1.33553385579283	352	22	LDHA PLAUR FTH1 BCL2 MAP1LC3B CYP11B1 ERBB2
ATF2	0.199739817872511	0.353824820231305	0.456438162442876	1.14748536686583	1995	26	JUN CCND1 ATF3 DUSP10 CDKN1A DUSP1 CYP11B1 PCK2 MAP3K1 POLB PCK1 RELA TNF MMP2
ATF3	0.0801580867450345	0.198792055127685	0.557265788578751	1.29865733738274	790	14	ID1 GDF15 DDIT3 PCLAF LDLR PENK AK4 MMP2
ATF4	0.0721072107210721	0.183223240356823	0.484522333023546	1.24275274508534	720	32	CXCL8 CCL2 ATF3 HSPA5 TRIB3 DDIT3 CEBPB MAP1LC3B HRK SIRT1 FGF21 TNFRSF10B APOE MCL1 DDR2
ATF5	0.0425667766308396	0.141851412040964	0.668201593231055	1.40946919187643	399	8	EGR1 ID1 BCL2 CCND3 CREB1 SH2D1A
ATF6	0.0342723482151937	0.123539859845466	0.604396615704805	1.39323964210686	336	13	HSPA5 DDIT3 DNAJC3 SRF WBP1 XBP1
ATM	0.00340886304391418	0.0352249181204465	0.605160627089429	1.4952242184771	33	22	GADD45A PMAIP1 SLC2A1 CDKN1A BCL2 PCNA DUSP1 IGF1R PBK BAX TNFRSF10B MCL1
BCL3	0.146559633027523	0.295022637912546	0.659226039599959	1.25606193897792	1277	5	NFKB1 EGFR MYB RELA
BCL6	0.141716365106641	0.287137733222606	0.519975072192367	1.22243841974598	1401	15	CDKN1A MYC NFKB1 LITAF CCND2 CDKN2B XBP1 STAT3 HDAC7 BCL2L1
BRCA1	0.0104989501049895	0.059466221851543	0.491282577689683	1.31215295615472	104	53	CXCL1 GADD45A CCND1 EGR1 CYP1B1 CDKN1A HSPA5 STAT1 MYC DDIT3 FOS MAD2L1 E2F6 BRCA2 EGFR IGF1R JAK1 SIRT1 MDC1 IRF9 BACH1 CCNB1 XPC KHSRP CTSD MDM2 TP63 CYP19A1 STAT2 KRT17 EP300 STAT3 HMGA2 HIF1A ASPM RNASEL
BTF3	0.0101096094498244	0.059466221851543	0.732746420897982	1.54561664649653	94	8	EPHB2 SSPN NFKB1 RRAS2
CDX1	0.286123853211009	0.450245657337121	0.593631360683253	1.13108055984922	2494	5	PCNA IRF2BP2 DSC2 TBP
CDX2	0.446846846846847	0.572407117861663	0.407793641502102	1.02138657046713	4463	25	IGFBP3 CDKN1A ACAT2 AXIN2 KLF4 ELMO3 GUCY2C APC GSTP1 DSC2 FUT2 MUC17 REG4 HEPH TFF3 SLC15A1
CEBPA	0.351364863513649	0.516223259190669	0.400236406512123	1.05387006100097	3513	44	CCL2 ID1 ICAM1 BCL2 CRMP1 MYC SPP1 GAPDH CSF2RA PCK2 SERPINC1 SOCS3 CSF1 HSPA4 SAA1 PCK1 HOMER3 PRL ELANE
CEBPB	0.0501949805019498	0.14819470433909	0.460009495431825	1.22580356078506	501	51	CXCL8 TNFAIP6 GDF15 CDKN1A ADM DDIT3 SLC19A1 F8 DAPK1 OXTR MMP1 GADD45G IL1B PCK2 PLAC1 HSF1
CEBPD	0.126601432462423	0.26339895344531	0.520046130755453	1.23425028286966	1254	16	CXCL1 CCL20 TNFAIP6 DDIT3 GAPDH GADD45G SOD1 CYP19A1 PRL TNF
CEBPZ	0.334747706422018	0.499474721469397	0.574345858394241	1.09433476410669	2918	5	SOX9 APC MLH1 COL1A2
CIITA	0.299309516661663	0.463929750825578	0.434090450265309	1.09130322694694	2990	26	STAT1 IRF1 HLA-C HLA-B SIRT1 HLA-DQB1 CREBBP HLA-DRA HLA-DRB1 PSMC5 COL1A2 HLA-DRB5 HLA-DOA MMP9 IL4
CLOCK	0.474829655242551	0.594081044944976	0.4378610558374	1.00934612285352	4668	13	NAMPT NR3C1 BHLHE41 BHLHE40 PER1 PER2 CRY1 PER3 TPO CRY2 STAR
CREB1	0.0310968903109689	0.115855110800306	0.443845845473739	1.21777189104036	310	79	JUN HMOX1 ODC1 AR BCL2 AQP3 FOS SLC19A1 SNAI1 BDKRB2 CYP11B1 PPP2R2B GSK3A NR4A3 CYP11A1 NR2F1 ERBB2 CRTC1 CCK HLA-DQB1 CXCR4 SOX9 XPC SLC20A1 NR2F6 ETV3 ACACA POLD2 MC2R CYP19A1 NMNAT2 SMAD6 NR5A2 PPM1D MUC4 SNAI2 PRL
CREB5	0.00428921568627451	0.0391075547866205	0.695582161329262	1.58233640341694	41	12	MX1 ATP6V0E1 STAT1 RDX MAPKAPK3 LY96 LGALS3BP
CREBBP	0.317498496692724	0.487250168191804	0.437117912731422	1.08526122185731	3167	23	CDKN1A CSF2 IRF1 EGFR RARA PCK2 CCK CREB1 EZH2 EP300 PSMC5
CREM	0.138660517345097	0.282794476164343	0.486665356558553	1.20244740792201	1382	22	GPX4 FOS G6PD TAF4 DUSP4 DUSP1 SLC5A5 CREB1 MC2R CCNA2 CD247 CCL4
CRX	0.634633027522936	0.718015469095292	0.472812217548032	0.900876778329656	5533	5	BEST1 RHO NR2E3
