pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AATF	0.00907821229050279	0.0729235778596685	0.80786942746377	1.53650395577453	77	5	MYC CDKN1A BAX
ABL1	0.00893692195780942	0.0729235778596685	0.696619633580638	1.54892927253926	85	10	JUN PIM1 CDKN1A BAX BCL6 CCND2 BCL2
AHR	0.0335476094817196	0.139110753984197	0.554600675182894	1.36751091287843	333	20	MT2A CCND1 MYC FOS PCNA ABCG2 CYP1A1 CYP1B1 AHRR RFC3 IL1B BRCA1 MFSD2A
APC	0.0585933477499743	0.185944195410633	0.604048763348803	1.36731927640031	568	11	SGK1 MYC ODC1 DLG1 BIRC5 F8
APEX1	0.130237430167598	0.274242566207451	0.669209290394249	1.27278330752025	1118	5	CCL2 NFKB1
AR	0.0122987701229877	0.0849981668499817	0.453543524040562	1.26510354422952	122	86	HMOX1 JUN MYC WEE1 NOV CDKN1A IGFBP3 EGFR NFKB1 PNRC1 NRAS FKBP4 IGF1R CDC6 ERBB2 ALDH1A3 PMEPA1 CDH2 PTPN1 SESN1 USP26 AKR1C3 TCF7L2 KISS1R PSCA BTG2 MID1 IFI16 KLF5 GTF2F1 SRD5A3 ARG2 CDK20 TMPRSS2 SERPINB5 CRISP1 HMMR ACTA1 TRPS1 REST KLK2 TSC2 FOLH1 TGFA PEBP1 CRH TSC1 NAT1 AKT1 PC
ARID3A	0.418027286960412	0.582988727554655	0.520591536887008	1.03862506598046	3737	6	CDC6 RBL1 CDK1 E2F1 PML
ARNT	0.119260524464985	0.272106268963811	0.506020770740876	1.24081712326891	1186	19	JUN FOS RELB AHR CDK2 CYP1A1 CYP1B1 CCNE1 EPO BRCA1 MFSD2A
ARNTL	0.532878550659808	0.670952345162754	0.483012590904482	0.963651824033489	4764	6	PER1 PER3 BHLHE40
ASCL1	0.204008277965363	0.375423517439219	0.579973298365918	1.19834599499694	1872	7	DKK1 IGF2 CHRNA5 PCSK6
ATF1	0.388348541060864	0.556573254700133	0.423775266059985	1.05645019464224	3872	22	LDHA PLAUR MAP1LC3B ERBB2 CYP11B1 TOP2A BCL2 FTH1 CCNA1 SLC20A1 CFTR
ATF2	0.241465612173391	0.41431326465229	0.445845817751482	1.13139311691656	2411	26	JUN ATF3 CCND1 DUSP10 CDKN1A CYP11B1 ITGB8 POLB TNF
ATF3	0.00710587757588062	0.0690602476905898	0.659278263842157	1.55146895508261	69	14	GDF15 DDIT3 ID1 PCLAF LDLR
ATF4	0.0744223266980094	0.204335855932542	0.482306770452425	1.24862663966844	743	32	CXCL8 ATF3 CCL2 DDIT3 TRIB3 HSPA5 MAP1LC3B APOE CEBPB TNFRSF10B HRK SIRT1 DDIT4
ATF5	0.0850633450441818	0.220455835906171	0.625757059090612	1.32985545444159	798	8	EGR1 ID1 CCND3 CREB1 BCL2
ATF6	0.102885693892118	0.244145247023701	0.55176971035504	1.28266342195893	1008	13	DDIT3 HSPA5 DNAJC3 XBP1 WBP1
ATM	0.00350947558407701	0.0483891357832602	0.612327058739289	1.52650022830323	34	22	GADD45A PMAIP1 PCNA CDKN1A IGF1R PBK SLC2A1 BAX TNFRSF10B BCL2 KLRK1
BCL3	0.15165270018622	0.302333267678938	0.655081979309071	1.24591427568304	1302	5	EGFR NFKB1 RELA MYB
BCL6	0.161623317477988	0.3201582913099	0.509900474615421	1.21280354650684	1596	15	MYC CDKN1A NFKB1 XBP1 BCL6 CCND2
BRCA1	0.0007999200079992	0.0226159202261592	0.538509250626564	1.45467139460854	7	53	GADD45A EGR1 DDIT3 CCND1 MYC HSPA5 FOS MAD2L1 CDKN1A JAK1 MDM2 STAT1 EGFR BRCA2 CXCL1 IGF1R BACH1 IRF9 HMGA2 FOXC2 MDC1 CASR SIRT1 CYP1A1 KHSRP E2F6 JAK2 CYP1B1 IGF1
BTF3	0.037581177472586	0.148857949255121	0.670945799720769	1.42589031706654	352	8	EPHB2 NFKB1 SSPN RRAS2
CDX1	0.501513035381751	0.645580055860449	0.518040405410326	0.985272006966377	4308	5	PCNA IRF2BP2 DSC2 PPARG
CDX2	0.71697357886309	0.810831938277895	0.349648310115326	0.891336079653586	7163	27	CDKN1A ACAT2 IGFBP3 SLC15A1 ELMO3 GUCY2C TFF3 GSTP1 SLC9A2 FUT2 DSC2 MUC17 CFTR KLF4 AXIN2
CEBPA	0.311668833116688	0.479846569798466	0.401444422432679	1.07183163984799	3116	45	CCL2 MYC ID1 ICAM1 CRMP1 CSF2RA SPP1 SAA1 SOCS3 GAPDH IGF2 SERPINC1 IL5 BCL2 IGF1 ELANE
CEBPB	0.379162083791621	0.550342640154589	0.387108957354391	1.04283260756095	3791	51	CXCL8 GDF15 DDIT3 ADM GADD45G CDKN1A TNFAIP6 OXTR SLC19A1 MMP1 SAA1 DAPK1 XBP1 IL5 F8 GFER TFF3 TNF IL1B TOP1 CYP19A1 IL4 PRSS50 STAR
CEBPD	0.0615089384910615	0.187285146202651	0.552657447292869	1.32578470624143	608	16	DDIT3 GADD45G CCL20 TNFAIP6 CXCL1 SOD1 GAPDH CASP8 C3 TNF
CEBPZ	0.247788640595903	0.41431326465229	0.607854689647722	1.15609169431245	2128	5	COL1A2 MLH1 SOX9
CIITA	0.961973381366957	0.978115192936328	0.269121091936915	0.688548618776725	9612	28	STAT1 IRF1 COL1A2 SIRT1 CREBBP IL4 MMP9 HLA-DQB1 PSMC5 HLA-DRB1 HLA-DMA HLA-F HLA-DOB HLA-DOA COL1A1 RAB4B HLA-DMB HLA-DRA HLA-C
CLOCK	0.375446109921485	0.548186573641229	0.459239336728399	1.06756403639332	3681	13	NAMPT NR3C1 BHLHE41 PER1 PER3 STAR BHLHE40
CREB1	0.2997700229977	0.472336313255571	0.382240523406666	1.06125460842538	2997	80	HMOX1 JUN FOS ODC1 AR CRTC1 GSK3A AQP3 SLC19A1 ERBB2 RRM2B BDKRB2 CYP11B1 ACACA SNAI1 SNAI2 CASP8 PPP2R2B STMN1 BCL2 NR4A3 RP1 PPM1D BDNF CYP11A1 NMNAT2 NR2F1 SOX9 MUC4 BCL2L11 CYP19A1 GRPR HLA-DQB1 ETV3 PLAU SLC20A1 PTGES SPRY2 LAPTM4B MMP2
CREB5	0.044971381847915	0.164542350055312	0.603916577521562	1.38761162377374	439	12	MX1 ATP6V0E1 STAT1 MAPKAPK3 RDX LY96
CREBBP	0.580128205128205	0.704765124198718	0.3830084263751	0.960066460991908	5791	23	CDKN1A EGFR INSM1 CSF2 IRF1 EZH2 CREB1 RS1 TRIM22 BRCA1 ALOX15 IL4 EP300 PSMC5 RAD51 PPARA PCK2 HOXA10
CREM	0.629407051282051	0.738099377142259	0.372131622512738	0.932802166339512	6283	23	FOS DUSP4 TAF4 GPX4 CREB1 CCL4 G6PD CCNA1 ACR STAR
CRX	0.88885009310987	0.921441263190565	0.379812040572773	0.722372555454864	7636	5	RS1 RHO RBP3 NR2E3 BEST1
CTCF	0.13699589712799	0.278468784358201	0.469125176451901	1.20026078206855	1368	28	CCND1 MYC PBXIP1 PAX6 CSF2 SIX5 DMPK RARRES1 IGF2 BCL6 ETNK2 IPO13 BBC3 BRCA1
CTNNB1	0.000401243855953456	0.0178266913145035	0.674420855681593	1.67259571896921	3	21	JUN CCND1 CD44 MYC AR NCOA2 MMP7 GLCE NRCAM STARD7 BIRC5
CUX1	0.681677845203875	0.776563406074744	0.412682682215279	0.877030962615322	6402	8	WNT5A CYBB RACGAP1 CDKN1B CFTR
DDIT3	0.100251635631605	0.243580145948666	0.519921813615503	1.26629306224298	995	18	CXCL8 TRIB3 CDK2 MAP1LC3B ATF2 CEBPA TNFRSF10B SIRT1
DEK	0.633961824953445	0.738099377142259	0.477118781425797	0.907442304552287	5446	5	CXCL8 BCL2 HLA-DQB1
DNMT1	0.0558223289315726	0.184688769124671	0.49698721847363	1.27932288974581	557	30	RGS10 MSH2 PROM1 BIRC5 CDKN2A TNFRSF10B SFRP5 RASSF1 SFRP1 CASP8 BAG1 RB1 TIMP3 MBD2 IL32
DNMT3A	0.0259671993271657	0.128829974145443	0.671046804903882	1.46215713393617	246	9	CDKN1A IGFBP3 CDKN2A SFRP5 SETDB1 SFRP1
E2F1	0.003999600039996	0.0490760946959638	0.44278755933452	1.26066870533951	39	129	THBS1 DDIT3 CCND1 SERPINE1 MYC CDCA7 HMGA1 HSPA5 PCNA AR CDKN1A MDM2 FGFR1 AURKA PPP1R13B MT1G FMN2 CDC6 CDKN1C MCPH1 ULK1 BIRC5 MYBL2 GINS3 PTPRO CDKN2A TOP2A CDK1 MAP3K5 RRP1B RASGRP1 BCL2 CD2AP CTSV IRF3 ISYNA1 E2F6 CDAN1 TP73 ZNF350 PEG10 CCNE1 RB1 AURKB KIF2C SERPINB5 TNF CCNB1 DHFR TYMS BBC3 PCSK6 E2F1 KDR IL1B MUC4 MYCN RACGAP1 DBF4 BRCA1 CREBBP TP53INP1
E2F3	0.0952575633687653	0.237000817661488	0.565824104500618	1.3000870213542	931	12	CDKN1A AURKA CDC6 CDK1 MAP3K5 CCNB1
E2F4	0.0504807692307692	0.178403627622378	0.52465416483809	1.31512215553051	503	23	CCND1 MYC AR PCLAF CDK2 MCM10 BIRC5 MAP3K5 TTK HCFC1 PEG10 AURKB CCNB1
E2F6	0.535115186759114	0.671051705976147	0.482360554892634	0.962350955890536	4784	6	PCLAF E2F1 BRD7 BRCA1 CYC1
EGR1	0.0552944705529447	0.184688769124671	0.426153575236537	1.18511254426752	552	82	CXCL8 GDF15 ATF3 TFPI2 CCND1 TCF4 PTP4A1 AR CDKN1A F3 PLAUR HPSE EGFR NFKB1 LDLR ACHE UBE2S SYN1 SOD1 FGF2 GDNF EAPP IGF2 STMN1 CCND2 TGFBR2 PSEN2 TP73 SLC9A3 TNF ALOX5 FAP SOX18
EGR2	0.509208985414671	0.650879685197284	0.463595989236596	0.985231642195916	4782	8	LIF MPZ IGF2 SCD5
ELF1	0.431917385286916	0.594364189487747	0.486085363635545	1.0330259367659	4056	8	BRCA2 ERBB2 CD68 CYBB FLI1
ELK1	0.102049015668943	0.244132645177241	0.508818654401121	1.25462354033411	1015	20	FOSL1 ZFP36 FOS EIF2AK1 ERBB2 EZH2 TNFRSF10B DAP3 PTPRZ1
EP300	0.0160983901609839	0.10013198680132	0.48601433886023	1.30741605523893	160	50	CXCL8 CCND1 MYC PCNA CDKN1A IGFBP3 ZEB1 MDM2 NFKB1 EIF2AK1 ERBB2 YY1 BIRC5 EZH2 COL1A2 CRABP1 RS1 IL5 TP73 CYBB CYP1B1 IGF1 CCNE1 EPO KRT16 TRIM22 SLC9A2 BRCA1 ALOX15 PARP1 CREBBP
EPAS1	0.175883095037847	0.339749332650748	0.559336411499447	1.21874915187372	1672	9	SERPINE1 CCR7 COL10A1 PTPRZ1
ERCC2	0.0578090067071223	0.185944195410633	0.648717821449495	1.37865154010696	542	8	CDKN1A LAMTOR5 BAX BCL2 XPA E2F1
ERG	0.0630756908289948	0.188620575459783	0.508872692229169	1.28608392464234	629	25	CXCL8 HMOX1 ICAM1 PIM1 ZEB1 SPP1 FGF2 TMPRSS2 ICAM2 TFF3
