pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
AATF	0.0112359550561798	0.079417773237998	0.80786942746377	1.54371299051904	96	5	MYC CDKN1A BAX
ABL1	0.00886155129274395	0.0737647165516007	0.696619633580638	1.55159306138251	84	10	JUN PIM1 CDKN1A BAX BCL6 CCND2 BCL2
AHR	0.0314541252135464	0.132140096022037	0.554600675182894	1.37203047247877	312	20	MT2A CCND1 MYC FOS PCNA ABCG2 CYP1A1 CYP1B1 AHRR RFC3 IL1B BRCA1 MFSD2A
APC	0.055194470236253	0.178807119288071	0.604048763348803	1.37034220649584	534	11	SGK1 MYC ODC1 DLG1 BIRC5 F8
APEX1	0.125564693617514	0.268031298648653	0.669209290394249	1.27875500648768	1083	5	CCL2 NFKB1
AR	0.0101989801019898	0.0737647165516007	0.453543524040562	1.26426012500917	101	86	HMOX1 JUN MYC WEE1 NOV CDKN1A IGFBP3 EGFR NFKB1 PNRC1 NRAS FKBP4 IGF1R CDC6 ERBB2 ALDH1A3 PMEPA1 CDH2 PTPN1 SESN1 USP26 AKR1C3 TCF7L2 KISS1R PSCA BTG2 MID1 IFI16 KLF5 GTF2F1 SRD5A3 ARG2 CDK20 TMPRSS2 SERPINB5 CRISP1 HMMR ACTA1 TRPS1 REST KLK2 TSC2 FOLH1 TGFA PEBP1 CRH TSC1 NAT1 AKT1 PC
ARID3A	0.415219096716351	0.580336327432984	0.520591536887008	1.04004470295019	3704	6	CDC6 RBL1 CDK1 E2F1 PML
ARNT	0.116208874132206	0.26530214111456	0.506020770740876	1.24408401760894	1154	19	JUN FOS RELB AHR CDK2 CYP1A1 CYP1B1 CCNE1 EPO BRCA1 MFSD2A
ARNTL	0.533789084388659	0.666821920878628	0.483012590904482	0.964968984383413	4762	6	PER1 PER3 BHLHE40
ASCL1	0.197494553376906	0.363089857950055	0.579973298365918	1.2022885452425	1812	7	DKK1 IGF2 CHRNA5 PCSK6
ATF1	0.373722188815394	0.543119629540129	0.423775266059985	1.06132209841938	3728	22	LDHA PLAUR MAP1LC3B ERBB2 CYP11B1 TOP2A BCL2 FTH1 CCNA1 SLC20A1 CFTR
ATF2	0.226216703384739	0.388692788688695	0.445845817751482	1.13684879244235	2258	26	JUN ATF3 CCND1 DUSP10 CDKN1A CYP11B1 ITGB8 POLB TNF
ATF3	0.0049832197701617	0.0553493338757246	0.659278263842157	1.55496945274943	48	14	GDF15 DDIT3 ID1 PCLAF LDLR
ATF4	0.0660132026405281	0.190796727458375	0.482306770452425	1.25349873711452	659	32	CXCL8 ATF3 CCL2 DDIT3 TRIB3 HSPA5 MAP1LC3B APOE CEBPB TNFRSF10B HRK SIRT1 DDIT4
