,Well,Drug,Concentration,Exp
0,A01_DGE1,bx-912,0.3,DGE1
1,A02_DGE1,hg-9-91-01,10.0,DGE1
2,A03_DGE1,pha-665752,0.3,DGE1
3,A04_DGE1,Chitosan,1.0,DGE1
4,A05_DGE1,bortezomib,1.0,DGE1
5,A06_DGE1,(+)-jq1,0.3,DGE1
6,A07_DGE1,brivanib,1.0,DGE1
7,A08_DGE1,MG-132,10.0,DGE1
8,A09_DGE1,torin1,0.3,DGE1
9,A10_DGE1,bx-912,1.0,DGE1
10,A11_DGE1,tofacitinib,10.0,DGE1
11,A12_DGE1,fedratinib,1.0,DGE1
12,A13_DGE1,kw2449,10.0,DGE1
13,A14_DGE1,sb202190,0.3,DGE1
14,A15_DGE1,(+)-jq1,1.0,DGE1
15,A16_DGE1,ldn-193189,10.0,DGE1
16,A17_DGE1,zm-447439,10.0,DGE1
17,A18_DGE1,kw2449,3.0,DGE1
18,A19_DGE1,a443654,10.0,DGE1
19,A20_DGE1,r 59-022,0.3,DGE1
20,A21_DGE1,pha-665752,10.0,DGE1
21,A22_DGE1,dsRNA +lipo,,DGE1
22,A23_DGE1,dsRNA +lipo,,DGE1
23,A24_DGE1,rotenone,1.0,DGE1
24,B01_DGE1,gsk1059615,1.0,DGE1
25,B02_DGE1,tofacitinib,10.0,DGE1
26,B03_DGE1,fccp,1.0,DGE1
27,B04_DGE1,cabozantinib,1.0,DGE1
28,B05_DGE1,brivanib,3.0,DGE1
29,B06_DGE1,metformin,0.3,DGE1
30,B07_DGE1,gsk1059615,10.0,DGE1
31,B08_DGE1,tofacitinib,0.3,DGE1
32,B09_DGE1,sb202190,10.0,DGE1
33,B10_DGE1,pf04217903,10.0,DGE1
34,B11_DGE1,ruxolitinib,1.0,DGE1
35,B12_DGE1,ruxolitinib,10.0,DGE1
36,B13_DGE1,plx-4720,0.3,DGE1
37,B14_DGE1,tofacitinib,1.0,DGE1
38,B15_DGE1,pazopanib,1.0,DGE1
39,B16_DGE1,alisertib,1.0,DGE1
40,B17_DGE1,plx-4720,10.0,DGE1
41,B18_DGE1,barasertib,3.0,DGE1
42,B19_DGE1,cabozantinib,3.0,DGE1
43,B20_DGE1,bortezomib,10.0,DGE1
44,B21_DGE1,gsk1070916,3.0,DGE1
45,B22_DGE1,nvp-tae684,0.3,DGE1
46,B23_DGE1,(+)-jq1,0.3,DGE1
47,B24_DGE1,gsk1059615,3.0,DGE1
48,C01_DGE1,plx-4720,10.0,DGE1
49,C02_DGE1,gsk1059615,0.3,DGE1
50,C03_DGE1,torin1,1.0,DGE1
51,C04_DGE1,pf04217903,1.0,DGE1
52,C05_DGE1,LPS,,DGE1
53,C06_DGE1,barasertib,10.0,DGE1
54,C07_DGE1,alisertib,0.3,DGE1
55,C08_DGE1,hg-9-91-01,3.0,DGE1
56,C09_DGE1,r 59949,1.0,DGE1
57,C10_DGE1,MG-132,10.0,DGE1
58,C11_DGE1,ruxolitinib,3.0,DGE1
59,C12_DGE1,sb202190,3.0,DGE1
60,C13_DGE1,r 59949,0.3,DGE1
61,C14_DGE1,r 59949,10.0,DGE1
62,C15_DGE1,r 59949,10.0,DGE1
63,C16_DGE1,pf04217903,10.0,DGE1
64,C17_DGE1,ldn-193189,1.0,DGE1
65,C18_DGE1,LPS,,DGE1
66,C19_DGE1,r 59949,1.0,DGE1
67,C20_DGE1,brivanib,3.0,DGE1
68,C21_DGE1,r 59-022,1.0,DGE1
69,C22_DGE1,MG-132,1.0,DGE1
70,C23_DGE1,barasertib,3.0,DGE1
71,C24_DGE1,pazopanib,3.0,DGE1
72,D01_DGE1,barasertib,10.0,DGE1
73,D02_DGE1,rotenone,10.0,DGE1
74,D03_DGE1,brivanib,10.0,DGE1
75,D04_DGE1,fccp,1.0,DGE1
76,D05_DGE1,a443654,0.3,DGE1
77,D06_DGE1,nvp-tae684,0.3,DGE1
78,D07_DGE1,bx-912,3.0,DGE1
79,D08_DGE1,cabozantinib,3.0,DGE1
80,D09_DGE1,torin1,3.0,DGE1
81,D10_DGE1,ruxolitinib,10.0,DGE1
82,D11_DGE1,a443654,1.0,DGE1
83,D12_DGE1,metformin,3.0,DGE1
84,D13_DGE1,barasertib,10.0,DGE1
85,D14_DGE1,fedratinib,0.3,DGE1
86,D15_DGE1,tofacitinib,3.0,DGE1
87,D16_DGE1,cabozantinib,3.0,DGE1
88,D17_DGE1,r 59949,1.0,DGE1
89,D18_DGE1,kw2449,0.3,DGE1
90,D19_DGE1,pha-665752,3.0,DGE1
91,D20_DGE1,metformin,1.0,DGE1
92,D21_DGE1,barasertib,3.0,DGE1
93,D22_DGE1,brivanib,10.0,DGE1
94,D23_DGE1,(+)-jq1,1.0,DGE1
95,D24_DGE1,naked dsRNA,,DGE1
96,E01_DGE1,metformin,10.0,DGE1
97,E02_DGE1,pha-665752,1.0,DGE1
