Phosphorylation(None, SIK3())	SIK3 is phosphorylated.	"Studies by Walkinshaw et al have demonstrated that tumor suppressor kinase LKB1 is an upstream modulator of SIK3 phosphorylation in HEK293 and HeLa cell lines [ xref ]."	PMID28658303
Phosphorylation(SIK3(), PER2())	SIK3 phosphorylates PER2.	"[…] I recommend modifying the last sentence of the Abstract to "Collectively, the results indicate that SIK3 plays key roles in circadian rhythms by facilitating phosphorylation-dependent destabilization of PER2, either directly or indirectly." Also, offer the alternative of an indirect regulation of PER2 phosphorylation and degradation status by SIK3 in the Results presentation of the xref data and in the Discussion, which now suggests only that PER2 is directly phosphorylated by SIK3."	PMID29227248
Phosphorylation(PKA(), SIK3())	PKA phosphorylates SIK3.	"As in adipocytes, SIK3 expressed in HEK293 cells was phosphorylated on PKA consensus sites, and its binding to endogenous 14-3-3 increased in response to cAMP-elevation (A)."	PMID22588126
Phosphorylation(SIK3(), HDAC4())	SIK3 phosphorylates HDAC4.	"They find that SIK3 phosphorylates and inhibits HDAC4 during feeding
states."	PMID21565608
Complex(SIK3(), p14_3_3())	SIK3 binds p14_3_3.	"In parallel, a three-fold increase in 14-3-3 binding to wild type SIK3 could be observed when the cells were stimulated with forskolin (B)."	PMID22588126
Activation(AKT(), SIK3())	AKT activates SIK3.	"We have shown that SIK3 is activated by AKT during feeding, when it promotes lipid storage in adult flies by inhibiting FOXO activity and thereby reducing the expression of brummer lipase, the fly homolog of ATGL."	PMID21565616
Activation(IL17A(), SIK3())	IL17A activates SIK3.	"mTOR2 and SIK3 are sequentially activated by IL-17 and salt, respectively."	PMID28658303
Inhibition(SIK3(), CRTC2())	SIK3 inhibits CRTC2.	"Sik3 anchors CRTC2 in the cytoplasm, preventing CRTC2 from co-activating CREB in nuclei XREF_BIBR."	PMID27009967
Phosphorylation(SIK3(), sav())	SIK3 phosphorylates sav.	"Similar to Sik2, Sik3-PB strongly phosphorylated Sav, while Sik3-PA had little effect ( xref )."	PMID23263283
Activation(INS(), SIK3())	INS activates SIK3.	"For example, during feeding, Drosophila SIK3 is activated by insulin to regulate fat stores through phosphorylation of HDAC4 XREF_BIBR, a function that appears to be conserved in C. elegans XREF_BIBR."	PMID25357003
Activation(SIK3(), STK11())	SIK3 activates STK11.	"SIK3 is a critical target of LKB1 for controlling lipid storage in Drosophila."	PMID25996931
Activation(STK11(), SIK3())	STK11 activates SIK3.	"Lkb1 is a master kinase that activates 13 kinases of the ampk subfamily, including mark/par-1we recently demonstrated that the lkb1 tumour suppressor kinase, in complex with the pseudokinase strad and the scaffolding protein mo25, phosphorylates and activates amp-activated protein kinase (ampk). A total of 12 human kinases (nuak1, nuak2, brsk1, brsk2, qik, qsk, sik, mark1, mark2, mark3, mark4 and melk) are related to ampk. Here we demonstrate that lkb1 can phosphorylate the t-loop of all the members of this subfamily, apart from melk, increasing their activity >50-fold"	PMID14976552
Complex(SIK2(), SIK3())	SIK2 binds SIK3.	"Sik2 and Sik3 associate with and phosphorylate Sav, reducing its activity."	PMID23263283
IncreaseAmount(SP1(transcription), SIK3())	Transcriptionally active SP1 increases the amount of SIK3.		PMID
Activation(SIK3(), metabolism())	SIK3 activates metabolism.	"SIK3 induced pro inflammatory arginine metabolism and release of reactive nitrogen species."	PMID28658303
Activation(SIK3(), HDAC4())	SIK3 activates HDAC4.	"Both HDAC4/5 and CRTC2 are known substrates of salt inducible kinases (SIKs) XREF_BIBR XREF_BIBR XREF_BIBR XREF_BIBR, and SIK3 deficiency in growth plate chondrocytes increases nuclear HDAC4 and delays MEF2 driven chondrocyte hypertrophy XREF_BIBR."	PMID27759007
Activation(SIK3(), SIK3())	SIK3 activates SIK3.	"In contrast, expression of either inactive SIK3 harboring a mutation in the LKB1 phosphorylation site (SIK3 T196A) or a kinase dead mutant (SIK3 K70M) failed to rescue the SIK3 Delta5-31 mutant phenotypes (Fig XREF_FIG and XREF_FIG, respectively)."	PMID25996931
