symbol,entrez_id
AADAT,51166
AAK1,22848
ABCB1,5243
ABCB11,8647
ABCC1,4363
ABCC5,10057
ABCC8,6833
ABCC9,10060
ABCG2,9429
ABHD11,83451
ABHD6,57406
ABL1,25
ABL2,27
ACACA,31
ACACB,32
ACAT1,38
ACAT2,39
ACE,1636
ACE2,59272
ACHE,43
ACKR3,57007
ACLY,47
ACP1,52
ACPP,55
ACR,49
ACVR1,90
ACVR1B,91
ACVR2A,92
ACVR2B,93
ACVRL1,94
ADA,100
ADAM10,102
ADAM12,8038
ADAM17,6868
ADAM33,80332
ADAM9,8754
ADAMTS1,9510
ADAMTS4,9507
ADAMTS5,11096
ADCY1,107
ADCY10,55811
ADCY2,108
ADCY3,109
ADCY4,196883
ADCY5,111
ADCY6,112
ADCY7,113
ADCY8,114
ADCY9,115
ADCYAP1R1,117
ADH1A,124
ADH1B,125
ADH1C,126
ADH5,128
ADK,132
ADORA1,134
ADORA2A,135
ADORA2B,136
ADORA3,140
ADRA1A,148
ADRA1B,147
ADRA1D,146
ADRA2A,150
ADRA2B,151
ADRA2C,152
ADRB1,153
ADRB2,154
ADRB3,155
ADSS,159
AEBP2,121536
AGER,177
AGL,178
AGPAT2,10555
AGTR1,185
AGTR2,186
AHCY,191
AHR,196
AIM1,202
AKR1A1,10327
AKR1B1,231
AKR1B10,57016
AKR1C1,1645
AKR1C2,1646
AKR1C3,8644
AKR1C4,1109
AKT1,207
AKT2,208
AKT3,10000
ALB,213
ALDH1A1,216
ALDH2,217
ALDH3A1,218
ALK,238
ALKBH3,221120
ALOX12,239
ALOX15,246
ALOX5,240
ALOX5AP,241
ALPI,248
ALPL,249
ALPPL2,251
AMD1,262
AMPD2,271
AMPD3,272
AMY1C,278
AMY2A,279
ANKK1,255239
ANO1,55107
ANPEP,290
ANXA2,302
AOC1,26
AOC2,314
AOC3,8639
APBA1,320
APEX1,328
APH1A,51107
APH1B,83464
APLN,8862
APLNR,187
APOB,338
APP,351
AR,367
ARAF,369
ARG1,383
ARG2,384
ARHGDIA,396
ASIC3,9311
ATAD2,29028
ATAD5,79915
ATF1,466
ATIC,471
ATM,472
ATP12A,479
ATP1A1,476
ATP1A2,477
ATP1A3,478
ATP1A4,480
ATP1B1,481
ATP1B2,482
ATP1B3,483
ATP2A1,487
ATP4A,495
ATP4B,496
ATP6V1B1,525
ATR,545
AURKA,6790
AURKB,9212
AURKC,6795
AVPR1A,552
AVPR1B,553
AVPR2,554
AXL,558
B4GALT1,2683
BACE1,23621
BACE2,25825
BAD,572
BAX,581
BAZ2A,11176
BAZ2B,29994
BBOX1,8424
BCAT1,586
BCAT2,587
BCHE,590
BCL2,596
BCL2A1,597
BCL2L1,598
BCL2L2,599
BCR,613
BCRP1,644079
BDKRB1,623
BDKRB2,624
BHMT,635
BIRC2,329
BIRC3,330
BIRC5,332
BIRC8,112401
BLK,640
BLM,641
BMP1,649
BMP2K,55589
BMP4,652
BMPR1A,657
BMPR1B,658
BMPR2,659
BMX,660
BPTF,2186
BRAF,673
BRCA1,672
BRD2,6046
BRD3,8019
BRD4,23476
BRD7,29117
BRD9,65980
BRDT,676
BRPF1,7862
BRS3,680
BRSK1,84446
BRSK2,9024
BTK,695
BUB1,699
C1R,715
C1S,716
C3,718
C3AR1,719
C5AR1,728
CA1,759
CA12,771
CA13,377677
CA14,23632
CA2,760
CA3,761
CA4,762
CA5A,763
CA5B,11238
CA6,765
CA7,766
CA9,768
CACNA1B,774
CACNA1C,775
CACNA1D,776
CACNA1F,778
CACNA1G,8913
CACNA1H,8912
CACNA1I,8911
CACNA1S,779
CACNA2D1,781
CACNA2D2,9254
CAD,790
CALCA,796
CALCR,799
CALCRL,10203
CALM3,808
CAMK1,8536
CAMK1D,57118
CAMK1G,57172
CAMK2A,815
CAMK2B,816
CAMK2D,817
CAMK2G,818
CAMK4,814
CAMKK1,84254
CAMKK2,10645
CAPN1,823
CAPN2,824
CAPNS1,826
CARM1,10498
CASK,8573
CASP1,834
CASP10,843
CASP2,835
CASP3,836
CASP4,837
CASP5,838
CASP6,839
CASP7,840
CASP8,841
CASP9,842
CASR,846
CBFB,865
CBR1,873
CBX7,23492
CBX8,57332
CCKAR,886
CCKBR,887
CCL2,6347
CCL5,6352
CCNA1,8900
CCNA2,890
CCNB1,891
CCNB2,9133
CCNB3,85417
CCND1,595
CCND2,894
CCND3,896
CCNE1,898
CCNE2,9134
CCNH,902
CCNT1,904
CCR1,1230
CCR2,729230
CCR3,1232
CCR4,1233
CCR5,1234
CCR6,1235
CCR8,1237
CCR9,10803
CCRL2,9034
CD22,933
CD274,29126
CD38,952
CD4,920
CD40,958
CD74,972
CDA,978
CDC14A,8556
CDC25A,993
CDC25B,994
CDC25C,995
CDC42,998
CDC42BPA,8476
CDC42BPB,9578
CDC42BPG,55561
CDC7,8317
CDK1,983
CDK11A,728642
CDK11B,984
CDK13,8621
CDK14,5218
CDK15,65061
CDK16,5127
CDK17,5128
CDK18,5129
CDK19,23097
CDK2,1017
CDK2AP1,8099
CDK3,1018
CDK4,1019
CDK5,1020
CDK5R1,8851
CDK6,1021
CDK7,1022
CDK8,1024
CDK9,1025
CDKL1,8814
CDKL2,8999
CDKL3,51265
CDKL5,6792
CDKN3,1033
CECR2,27443
CEL,1056
CELA1,1990
CENPE,1062
CES1,1066
CES2,8824
CETP,1071
CFB,629
CFD,1675
CFTR,1080
CHAT,1103
CHEK1,1111
CHEK2,11200
CHIA,27159
CHKA,1119
CHRM1,1128
CHRM2,1129
CHRM3,1131
CHRM4,1132
CHRM5,1133
CHRNA1,1134
CHRNA2,1135
CHRNA3,1136
CHRNA4,1137
CHRNA5,1138
CHRNA6,8973
CHRNA7,1139
CHRNB1,1140
CHRNB2,1141
CHRNB3,1142
CHRNB4,1143
CHRND,1144
CHRNG,1146
CHUK,1147
CISD1,55847
CIT,11113
CLK1,1195
CLK2,1196
CLK3,1198
CLK4,57396
CMA1,1215
CNOT7,29883
CNR1,1268
CNR2,1269
COMT,1312
COX1,4512
COX1,5742
COX2,4513
COX2,5743
CPA1,1357
CPA3,1359
CPB1,1360
CPB2,1361
CPN1,1369
CPT1A,1374
CPT1B,1375
CPT2,1376
CRACR2A,84766
CREB1,1385
CREBBP,1387
CRHBP,1393
CRHR1,1394
CRHR2,1395
CSF1R,1436
CSK,1445
CSNK1A1,1452
CSNK1A1L,122011
CSNK1D,1453
CSNK1E,1454
CSNK1G1,53944
CSNK1G2,1455
CSNK1G3,1456
CSNK2A1,1457
CSNK2A2,1459
CSNK2B,1460
CTNNB1,1499
CTRB1,1504
CTRC,11330
CTRL,1506
CTSA,5476
CTSB,1508
CTSC,1075
CTSD,1509
CTSE,1510
CTSF,8722
CTSG,1511
CTSH,1512
CTSK,1513
CTSL,1514
CTSS,1520
CTSV,1515
CTSZ,1522
CXCL8,3576
CXCR1,3577
CXCR2,3579
CXCR3,2833
CXCR4,7852
CYBB,1536
CYP11B1,1584
CYP11B2,1585
CYP17A1,1586
CYP19A1,1588
CYP1A1,1543
CYP1A2,1544
CYP1B1,1545
CYP21A2,1589
CYP24A1,1591
CYP26A1,1592
CYP2A6,1548
CYP2C19,1557
CYP2C9,1559
CYP2D6,1565
CYP2J2,1573
CYP3A4,1576
CYP51A1,1595
CYSLTR1,10800
CYSLTR2,57105
DAGLA,747
DAO,1610
DAP,1611
DAPK1,1612
DAPK2,23604
DAPK3,1613
DBF4,10926
DBH,1621
DCK,1633
DCLK1,9201
DCLK2,166614
DCLK3,85443
DDAH1,23576
DDH2,1646
DDIT3,1649
DDO,8528
DDOST,1650
DDR1,780
DDR2,4921
DDX3X,1654
DGAT1,8694
DHCR7,1717
DHFR,1719
DHODH,1723
DKK1,22943
DLG4,1742
DLK1,8788
DMPK,1760
DNM1,1759
DNM2,1785
DNMT1,1786
DNMT3A,1788
DNMT3B,1789
DNPEP,23549
DNPH1,10591
DNTT,1791
DOT1L,84444
DPEP1,1800
DPP4,1803
DPP7,29952
DPP8,54878
DPP9,91039
DPYD,1806
DRD1,1812
DRD2,1813
DRD3,1814
DRD4,1815
DRD5,1816
DSTYK,25778
DTYMK,1841
DUSP1,1843
DUSP22,56940
DUSP23,54935
DUSP3,1845
DUT,1854
DVL2,1856
DYRK1A,1859
DYRK1B,9149
DYRK2,8445
DYRK3,8444
EBP,10682
EBPL,84650
ECE1,1889
ECE2,9718
EDNRA,1909
EDNRB,1910
EED,8726
EEF2K,29904
EGFR,1956
EGLN1,54583
EGLN2,112398
EGLN3,112399
EHMT1,79813
EHMT2,10919
EIF2AK1,27102
EIF2AK2,5610
EIF2AK3,9451
EIF2AK4,440275
EIF4E,1977
EIF4H,7458
ELANE,1991
ELAVL1,1994
ELF3,1999
ELOVL3,83401
ELOVL6,79071
ENPEP,2028
ENPP1,5167
ENPP2,5168
EP300,2033
EPAS1,2034
EPHA1,2041
EPHA2,1969
EPHA3,2042
EPHA4,2043
EPHA5,2044
EPHA6,285220
EPHA7,2045
EPHA8,2046
EPHB1,2047
EPHB2,2048
EPHB3,2049
EPHB4,2050
EPHB6,2051
EPHX1,2052
EPHX2,2053
EPOR,2057
ERAP1,51752
ERAP2,64167
ERBB2,2064
ERBB3,2065
ERBB4,2066
ERCC5,2073
ERG,2078
ERN1,2081
ESR1,2099
ESR2,2100
ESRRA,2101
ESRRB,2103
ESRRG,2104
EZH1,2145
EZH2,2146
EZR,7430
F10,2159
F11,2160
F12,2161
F13A1,2162
F2,2147
F2R,2149
F2RL1,2150
F2RL3,9002
F3,2152
F5,2153
F7,2155
F9,2158
FAAH,2166
FABP1,2168
FABP2,2169
FABP3,2170
FABP4,2167
FABP5,2171
FADS1,3992
FAP,2191
FARS2,10667
FAS,355
FASN,2194
FBP1,2203
FCER2,2208
FCGR1A,2209
FCGRT,2217
FDFT1,2222
FDPS,2224
FEN1,2237
FER,2241
FES,2242
FFAR1,2864
FGB,2244
FGF1,2246
FGF2,2247
FGFR1,2260
FGFR2,2263
FGFR3,2261
FGFR4,2264
FGR,2268
FHIT,2272
FKBP1A,2280
FKBP1B,2281
FKBP4,2288
FKBP5,2289
FKBP9,11328
FLG,2312
FLT1,2321
FLT3,2322
FLT4,2324
FN1,2335
FNTA,2339
FNTB,2342
FOLH1,2346
FOLR1,2348
FOLR2,2350
FPGS,2356
FPR1,2357
FPR2,2358
FRK,2444
FTO,79068
FUCA1,2517
FURIN,5045
FUT6,2528
FUT7,2529
FXYD2,486
FYN,2534
G6PC,2538
G6PD,2539
GAA,2548
GABBR1,2550
GABBR2,9568
GABRA1,2554
GABRA2,2555
GABRA3,2556
GABRA4,2557
GABRA5,2558
GABRA6,2559
GABRB1,2560
GABRB2,2561
GABRB3,2562
GABRD,2563
GABRE,2564
GABRG1,2565
GABRG2,2566
GABRG3,2567
GABRP,2568
GABRQ,55879
GABRR1,2569
GAK,2580
GALE,2582
GALK1,2584
GALR1,2587
GALR2,8811
GALR3,8484
GANAB,23193
GAPDH,2597
GART,2618
GBA,2629
GBA2,57704
GCG,2641
GCGR,2642
GCK,2645
GCKR,2646
GCLC,2729
GDA,9615
GFER,2671
GFPT1,2673
GGPS1,9453
GHRL,51738
GHSR,2693
GIP,2695
GIPR,2696
GLA,2717
GLB1,2720
GLI1,2735
GLI2,2736
GLO1,2739
GLP1R,2740
GLP2R,9340
GLRA1,2741
GLS,2744
GLUL,2752
GNPAT,8443
GNRHR,2798
GPBAR1,151306
GPER1,2852
GPR119,139760
GPR139,124274
GPR17,2840
GPR174,84636
GPR18,2841
GPR19,2842
GPR34,2857
GPR35,2859
GPR39,2863
GPR4,2828
GPR52,9293
GPR55,9290
GPR88,54112
GRB2,2885
GRB7,2886
GRIA1,2890
GRIA2,2891
GRIA3,2892
GRIA4,2893
GRIK1,2897
GRIK2,2898
GRIK3,2899
GRIK4,2900
GRIK5,2901
GRIN1,2902
GRIN2A,2903
GRIN2B,2904
GRIN2C,2905
GRIN2D,2906
GRIN3A,116443
GRIN3B,116444
GRK1,6011
GRK2,156
GRK4,2868
GRK5,2869
GRK7,131890
GRM1,2911
GRM2,2912
GRM3,2913
GRM4,2914
GRM5,2915
GRM6,2916
GRM8,2918
GRPR,2925
GSG2,83903
GSK3A,2931
GSK3B,2932
GSR,2936
GSTA1,2938
GSTA2,2939
GSTM1,2944
GSTM2,2946
GSTP1,2950
GTF2A1,2957
GUSB,2990
GYS1,2997
GZMB,3002
HAO1,54363
HAP1,9001
HCAR2,338442
HCK,3055
HCRTR1,3061
HCRTR2,3062
HDAC1,3065
HDAC10,83933
HDAC11,79885
HDAC2,3066
HDAC3,8841
HDAC4,9759
HDAC5,10014
HDAC6,10013
HDAC7,51564
HDAC8,55869
HDAC9,9734
HEXA,3073
HEXB,3074
HGF,3082
HGFAC,3083
HIF1A,3091
HIPK1,204851
HIPK2,28996
HIPK3,10114
HIPK4,147746
HLA-A,3105
HLA-DRB1,3123
HLA-DRB3,3125
HLCS,3141
HMGCR,3156
HNMT,3176
HPD,3242
HPGD,3248
HPGDS,27306
HPN,3249
HPRT1,3251
HPSE,10855
HRAS,3265
HRH1,3269
HRH2,3274
HRH3,11255
HRH4,59340
HRX,4297
HSD11B1,3290
HSD11B2,3291
HSD17B1,3292
HSD17B2,3294
HSD17B3,3293
HSD3B1,3283
HSP90AA1,3320
HSP90AB1,3326
HSP90B1,7184
HSPA1A,3303
HSPA5,3309
HSPA8,3312
HSPB1,3315
HTR1A,3350
HTR1B,3351
HTR1D,3352
HTR1E,3354
HTR1F,3355
HTR2A,3356
HTR2B,3357
HTR2C,3358
HTR3A,3359
HTR3B,9177
HTR3C,170572
HTR3D,200909
HTR3E,285242
HTR4,3360
HTR5A,3361
HTR6,3362
HTR7,3363
HTT,3064
HUNK,30811
IARS,3376
ICAM1,3383
ICK,22858
ICMT,23463
IDE,3416
IDH1,3417
IDO1,3620
IGF1R,3480
IGF2R,3482
IGFBP3,3486
IGFBP5,3488
IKBKB,3551
IKBKE,9641
IL2,3558
IL6,3569
ILK,3611
IMPDH1,3614
IMPDH2,3615
INCENP,3619
INMT,11185
INSR,3643
INSRR,3645
IRAK1,3654
IRAK3,11213
IRAK4,51135
ITGA2,3673
ITGA2B,3674
ITGA4,3676
ITGA5,3678
ITGAL,3683
ITGAV,3685
ITGB1,3688
ITGB2,3689
ITGB3,3690
ITGB5,3693
ITGB6,3694
ITGB7,3695
ITK,3702
ITPR1,3708
ITPR2,3709
ITPR3,3710
JAK1,3716
JAK2,3717
JAK3,3718
JUN,3725
KARS,3735
KAT2A,2648
KAT2B,8850
KCNA1,3736
KCNA3,3738
KCNA5,3741
KCNH2,3757
KCNJ1,3758
KCNJ11,3767
KCNJ3,3760
KCNJ5,3762
KCNJ6,3763
KCNJ8,3764
KCNK3,3777
KCNK9,51305
KCNMA1,3778
KCNN1,3780
KCNN3,3782
KCNN4,3783
KCNQ2,3785
KCNQ3,3786
KDM1A,23028
KDM2A,22992
KDM3A,55818
KDM4A,9682
KDM4C,23081
KDM4E,390245
KDM5A,5927
KDM5C,8242
KDM6B,23135
KDM7A,80853
KDR,3791
KEAP1,9817
KHK,3795
KIF11,3832
KIFC1,3833
KISS1R,84634
KIT,3815
KLK1,3816
KLK14,43847
KLK3,354
KLK4,9622
KLK5,25818
KLK6,5653
KLK7,5650
KLKB1,3818
KMO,8564
KMT2A,4297
KMT5A,387893
KNG1,3827
KYNU,8942
L1CAM,3897
L3MBTL1,26013
L3MBTL3,84456
LAP3,51056
LARS,51520
LATS1,9113
LATS2,26524
LCK,3932
LDHA,3939
LDHB,3945
LGALS1,3956
LGALS3,3958
LGALS4,3960
LGALS7B,653499
LGALS8,3964
LGALS9,3965
LGMN,5641
LIG1,3978
LIMK1,3984
LIMK2,3985
LIPA,3988
LIPC,3990
LIPE,3991
LIPG,9388
LNPEP,4012
LPAR1,1902
LPAR2,9170
LPAR3,23566
LPAR4,2846
LPAR5,57121
LPL,4023
LRRK2,120892
LSS,4047
LTA4H,4048
LTB4R,1241
LTB4R2,56413
LTK,4058
LYN,4067
LYPLA1,10434
LYPLA2,11313
MAG,4099
MAGI3,260425
MAK,4117
MALT1,10892
MAN1B1,11253
MAN2A1,4124
MAN2B1,4125
MAOA,4128
MAOB,4129
MAP2,4133
MAP2K1,5604
MAP2K2,5605
MAP2K3,5606
MAP2K4,6416
MAP2K5,5607
MAP2K6,5608
MAP2K7,5609
MAP3K1,4214
MAP3K10,4294
MAP3K11,4296
MAP3K12,7786
MAP3K13,9175
MAP3K14,9020
MAP3K15,389840
MAP3K19,80122
MAP3K2,10746
MAP3K3,4215
MAP3K4,4216
MAP3K5,4217
MAP3K6,9064
MAP3K7,6885
MAP3K8,1326
MAP3K9,4293
MAP4K1,11184
MAP4K2,5871
MAP4K3,8491
MAP4K4,9448
MAP4K5,11183
MAPK1,5594
MAPK10,5602
